user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
0,0,0,0,0,0,0,Achilidae
0,0,0,0,0,0,0,Achilixiidae
0,0,0,0,0,0,0,Aetalionidae
0,0,0,0,0,0,0,Aleyrodoidea
284298,6991,56636,0,3,0,16,Alydidae
7101,1235,2531,0,2,0,2,Anthocoridae
0,0,0,0,0,0,0,Aphelocheiridae
29138,1929,3789,0,2,0,4,Aphidoidea
12951,1959,1872,12,2,0,44,Aphrophoridae
17977,652,816,0,0,0,0,Aradidae
237936,21753,239688,34,34,18,738,Belostomatidae
2994,546,3384,0,0,0,8,Berytidae
7197,2,136,0,0,0,0,Caliscelidae
0,0,0,0,0,0,0,Canopidae
196333,2802,41842,10,17,5,154,Cercopidae
731778,13918,256904,107,68,16,1027,Cicadellidae
939763,71700,380114,205,70,28,816,Cicadidae
324535,3183,5053,10,4,2,2,Cimicidae
57270,652,8122,1,0,0,3,Cixiidae
6887,159,20870,1,1,0,54,Clastopteridae
101289,5277,54443,13,4,2,33,Coccoidea
0,0,0,0,0,0,0,Colobathristidae
912600,59782,666029,77,89,13,1125,Coreidae
62512,4640,8840,0,2,0,4,Corixidae
61876,3606,1882,0,2,0,7,Cydnidae
40066,6412,10995,0,1,0,7,Delphacidae
44594,385,45612,11,18,5,192,Derbidae
10016,2307,4548,1,2,0,27,Dictyopharidae
30443,3,3857,0,0,0,1,Dinidoridae
61793,1439,5449,3,2,1,12,Dipsocoridae
0,0,0,0,0,0,0,Epipygidae
0,0,0,0,0,0,0,Enicocephalidae
0,0,0,0,0,0,0,Eurybrachyidae
22560,4862,7372,0,0,0,4,Flatidae
208257,1744,11481,75,6,2,280,Fulgoridae
0,0,0,0,0,0,0,Gelastocoridae
104493,5386,159577,9,5,3,200,Gerridae
0,0,0,0,0,0,0,Hebridae
0,0,0,0,0,0,0,Hermatobatidae
0,0,0,0,0,0,0,Hydrometridae
0,0,0,0,0,0,0,Hyocephalidae
0,0,0,0,0,0,0,Idiostolidae
1324,196,139,0,2,0,2,Issidae
0,0,0,0,0,0,0,Joppeicidae
6499,1091,182,0,0,0,2,Largidae
30443,3,3857,0,0,0,1,Leptopodidae
0,0,0,0,0,0,0,Lestoniidae
840,306,385,6,0,0,56,Lophopidae
0,0,0,0,0,0,0,Lyctocoridae
246612,6959,69335,8,10,0,59,Lygaeidae
0,0,0,0,0,0,0,Machaerotidae
0,0,0,0,0,0,0,Macroveliidae
0,0,0,0,0,0,0,Malcidae
0,0,0,0,0,0,0,Meenoplidae
331701,23568,170698,31,32,8,319,Membracidae
0,0,0,0,0,0,0,Mesoveliidae
0,0,0,0,0,0,0,Microphysidae
204611,22895,50621,5,19,0,45,Miridae
0,0,0,0,0,0,0,Myerslopiidae
18582,4453,3527,3,3,1,15,Nabidae
