,internalTaxonId,scientificName,name,language,main
1240,166080,Schistura fasciolata,横纹南鳅,Chinese,True
1248,166083,Carassius auratus,Goldfish ,English,True
1257,166090,Channa maculata,Blotched snakehead ,English,True
1259,166092,Coreoperca whiteheadi,中国少鳞鳜(石鳜),Chinese,True
1262,166103,Luciobrama macrocephalus,Long spiky-head carp,English,True
1269,166106,Oreonectes platycephalus,Flat-headed loach ,English,True
1279,166112,Mylopharyngodon piceus,Black carp,English,True
1283,166118,Squalidus argentatus,銀鮈 ,Chinese,True
1284,166124,Clarias fuscus,Hong Kong catfish,English,True
1285,166132,Gobiobotia meridionalis,南方鳅鮀,Chinese,True
1286,166133,Microphysogobio labeoides,似鲮小鳔鮈,Chinese,True
1288,166135,Schizothorax lissolabiatus,光唇裂腹魚 ,Chinese,True
1294,166136,Pseudorasbora parva,Topmouth gudgeon,English,True
1301,166137,Carassius cuvieri,Japanese White Crucian Carp,English,True
1307,166143,Chanodichthys erythropterus,Redfin culter,English,True
1308,166150,Acentrogobius viridipunctatus,Spotted Green Goby,English,True
1312,166152,Carassioides acuminatus,cá nhưng,Vietnamese,True
1315,166158,Misgurnus anguillicaudatus,Pond loach,English,True
1319,166159,Siniperca scherzeri,Golden mandarin fish,English,True
1323,166161,Garra imberba,缺须墨头鱼,Chinese,True
1329,166171,Eleotris oxycephala,尖头塘鳢,Chinese,True
1341,166172,Hypophthalmichthys nobilis,Bighead Carp ,English,True
1342,166180,Hemibarbus macracanthus,大刺 鱼骨,Chinese,True
1350,166183,Metzia formosae,台细鳊,Chinese,True
1354,166184,Anguilla japonica,Japanese Eel,English,True
1358,166188,Elopichthys bambusa,Yellowcheek,English,True
1361,166191,Procypris mera,Chinese-ink carp ,English,True
1367,166193,Hemiculter leucisculus,Sharpbelly,English,True
1369,166195,Siniperca knerii,大眼鱖,Chinese,True
1370,166196,Clupanodon thrissa,Chinese Gizzard Shad,English,True
1376,166197,Salanx chinensis,Chinese noodlefish,English,True
1380,166200,Salanx cuvieri,Noodlefish,English,True
1383,166207,Sinibotia superciliaris,中华沙鳅,Chinese,True
