,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
37162,10192953,39313,Euconocephalus remotus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Euconocephalus,remotus,,,,"(Walker, 1869)",Vulnerable,B1+2bd,2.3,,Global
37190,10227844,39484,Pieris cheiranthi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PIERIDAE,Pieris,cheiranthi,,,,"(Hübner, 1808)",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global & Europe
37191,10228166,39485,Gonepteryx maderensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PIERIDAE,Gonepteryx,maderensis,,,,"Felder, 1862",Endangered,"B1ab(i,iii)",3.1,Decreasing,Global & Europe
37192,10228760,39486,Lycaena ottomana,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Lycaena,ottomana,,,,"(Lefèbvre, 1830)",Vulnerable,A1ac,2.3,Decreasing,Global
37194,10230047,39488,Plebejus trappi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Plebejus,trappi,,,,"(Verity, 1927)",Near Threatened,,3.1,Stable,Global & Europe
37195,10231565,39490,Polyommatus dama,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Polyommatus,dama,,,,"(Staudinger, 1892)",Endangered,"A1ac, B1+2ac",2.3,Decreasing,Global
37197,10232607,39491,Erebia christi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Erebia,christi,,,,"Rätzer, 1890",Vulnerable,"B2ab(iii,v)",3.1,Decreasing,Global & Europe
37198,10233214,39492,Erebia sudetica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Erebia,sudetica,,,,"Staudinger, 1861",Vulnerable,A2c,3.1,Decreasing,Global & Europe
37199,10234051,39494,Hipparchia maderensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Hipparchia,maderensis,,,,"(Bethune-Baker, 1891)",Least Concern,,3.1,Decreasing,Global & Europe
37201,10235659,39497,Pseudochazara euxina,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Pseudochazara,euxina,,,,"(Kuznetsov, 1909)",Endangered,B1ab(v),3.1,Decreasing,Global & Europe
37237,10240539,39481,Pyrgus cirsii,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,HESPERIIDAE,Pyrgus,cirsii,,,,"(Rambur, 1839)",Vulnerable,A2c,3.1,Decreasing,Global & Europe
37238,10240917,39482,Zerynthia caucasica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Zerynthia,caucasica,,,,"(Lederer, 1864)",Vulnerable,A1ac+2c,2.3,Decreasing,Global
37239,10240995,39483,Pieris wollastoni,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PIERIDAE,Pieris,wollastoni,,,,"(Butler, 1886)",Critically Endangered,B1ab(v),3.1,Unknown,Global & Europe
37471,10315068,4014,Cataglyphis hannae,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Cataglyphis,hannae,,,,"Agosti, 1994",Vulnerable,D2,2.3,,Global
37503,10359912,40726,Pentagenia robusta,ANIMALIA,ARTHROPODA,EPHEMEROPTERA,INSECTA,EPHEMERIDAE,Pentagenia,robusta,,,,"McDunnough, 1926",Extinct,,2.3,,Global
37504,10360291,40729,Acanthomyops murphii,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Acanthomyops,murphii,,,,"(Forel, 1901)",Vulnerable,D2,2.3,,Global
37505,10360341,40730,Epimyrma adlerzi,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Epimyrma,adlerzi,,,,"Douwes, Jessen &amp; Buschinger, 1988",Vulnerable,D2,2.3,,Global
37506,10360391,40731,Harpgoxenus zaisanicus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Harpgoxenus,zaisanicus,,,,"Pisarski, 1963",Vulnerable,D2,2.3,,Global
37507,10360441,40732,Monomorium noualhieri,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Monomorium,noualhieri,,,,"(Emery, 1895)",Vulnerable,D2,2.3,,Global
37508,10360495,40733,Pheidole oculata,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Pheidole,oculata,,,,"(Emery, 1899)",Vulnerable,D2,2.3,,Global
37509,10360549,40734,Rossomyrmex minuchae,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Rossomyrmex,minuchae,,,,"Tinaut, 1981",Vulnerable,D2,2.3,,Global
37510,10360580,40735,Strongylognathus caeciliae,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Strongylognathus,caeciliae,,,,"Forel, 1897",Vulnerable,D2,2.3,,Global
37511,10360668,40737,Appalachia arcana,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Appalachia,arcana,,,,"Hubbell &amp; Cantrall, 1938",Vulnerable,B1+2bd,2.3,,Global
37512,10360775,40738,Stenobothrus eurasius,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Stenobothrus,eurasius,,,,"Zubovskii, 1898",Vulnerable,B1+2d,2.3,,Global
37513,10361303,40740,Tetrix sierrana,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETRIGIDAE,Tetrix,sierrana,,,,"Rehn &amp; Grant, 1956",Vulnerable,D2,2.3,,Global
