,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
371,104493,5386,159577,9,5,3,200,Gerridae
372,0,0,0,0,0,0,0,Hebridae
373,0,0,0,0,0,0,0,Hermatobatidae
374,0,0,0,0,0,0,0,Hydrometridae
375,0,0,0,0,0,0,0,Hyocephalidae
376,0,0,0,0,0,0,0,Idiostolidae
377,1324,196,139,0,2,0,2,Issidae
378,0,0,0,0,0,0,0,Joppeicidae
379,6499,1091,182,0,0,0,2,Largidae
380,30443,3,3857,0,0,0,1,Leptopodidae
381,0,0,0,0,0,0,0,Lestoniidae
382,840,306,385,6,0,0,56,Lophopidae
383,0,0,0,0,0,0,0,Lyctocoridae
384,246612,6959,69335,8,10,0,59,Lygaeidae
385,0,0,0,0,0,0,0,Machaerotidae
386,0,0,0,0,0,0,0,Macroveliidae
387,0,0,0,0,0,0,0,Malcidae
388,0,0,0,0,0,0,0,Meenoplidae
389,331701,23568,170698,31,32,8,319,Membracidae
390,0,0,0,0,0,0,0,Mesoveliidae
391,0,0,0,0,0,0,0,Microphysidae
392,204611,22895,50621,5,19,0,45,Miridae
393,0,0,0,0,0,0,0,Myerslopiidae
394,18582,4453,3527,3,3,1,15,Nabidae
395,15988,454,292,0,2,0,0,Naucoridae
396,43886,2620,22022,0,5,0,6,Nepidae
397,0,0,0,0,0,0,0,Nogodinidae
398,205265,1680,5633,0,1,0,3,Notonectidae
399,0,0,0,0,0,0,0,Ochteridae
400,0,0,0,0,0,0,0,Paraphrynoveliidae
401,0,0,0,0,0,0,0,Peloridiidae
402,1393917,56897,824633,32,47,0,369,Pentatomidae
403,0,0,0,0,0,0,0,Phloeidae
404,0,0,0,0,0,0,0,Phylloxeroidea
405,0,0,0,0,0,0,0,Phymatidae
406,0,0,0,0,0,0,0,Piesmatidae
407,7146,56,3493,14,1,0,55,Plataspidae
408,0,0,0,0,0,0,0,Pleidae
409,0,0,0,0,0,0,0,Plokiophilidae
410,3054,630,428,2,0,0,11,Psylloidea
411,147788,6234,81844,1,12,0,57,Pyrrhocoridae
412,833687,36401,439723,114,64,11,801,Reduviidae
413,113757,8271,40417,6,6,1,52,Rhopalidae
414,6006,110,6658,1,0,0,11,Ricaniidae
415,7166,1296,1088,0,0,0,0,Saldidae
416,30443,3,3857,0,0,0,1,Schizopteridae
417,467764,8848,84819,36,21,3,341,Scutelleridae
418,1023,591,637,2,0,0,12,Stenocephalidae
419,7198,2,136,0,0,0,0,Termitaphididae
420,17538,191,3407,26,2,2,129,Tessaratomidae
421,0,0,0,0,0,0,0,Tettigometridae
422,0,0,0,0,0,0,0,Thaumastocoridae
423,890085,3178,15289,13,5,1,85,Tingidae
424,30443,3,3857,0,0,0,1,Tropiduchidae
425,19,27,26,2,0,0,13,Veliidae
426,0,0,0,0,0,0,0,Velocipedidae
427,3417,414,399,0,0,0,5,Agaonidae
428,0,0,0,0,0,0,0,Ampulicidae
429,0,0,0,0,0,0,0,Anaxyelidae
430,289270,23276,36681,12,24,0,116,Andrenidae
431,17585,878,3069,6,7,0,35,Aphelinidae
432,3146695,77289,271949,188,47,11,710,Apidae
433,238416,6077,25876,0,4,0,3,Argidae
434,57885,2,409,0,1,0,0,Aulacidae
435,104411,7567,4580,0,1,0,21,Bethylidae
436,0,0,0,0,0,0,0,Blasticotomidae
437,273454,16413,94377,18,20,4,115,Braconidae
438,57885,2,409,0,1,0,0,Bradynobaenidae
439,99487,200,2819,6,4,0,30,Cephidae
440,10310,674,946,1,6,0,13,Ceraphronidae
441,87369,3563,9242,5,7,0,53,Chalcididae
442,363121,20059,33908,19,11,1,177,Chrysididae
443,103409,4582,18195,0,3,0,13,Cimbicidae
444,42405,6914,10195,4,3,0,15,Colletidae
445,91105,2594,28815,5,6,0,98,Crabronidae
446,86163,2324,1813,12,9,0,49,Cynipidae
447,6006,541,1303,3,1,1,14,Diapriidae
448,453,553,109,0,0,0,2,Diprionidae
