,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity,sentiment_analysis_transformer_mean,sentiment_analysis_transformer_sd
227,227,227,227,33697,1455,5013,2,1,0,1,Hippoboscidae,3,3,0.16574074074074074,0.13688693394089793,-0.9795645475387573,0.003606266975041085
228,228,228,228,81051,4001,13183,0,2,0,5,Hybotidae,6,6,0.01772727272727272,0.21982243021686,-0.6953665415445963,0.6364656710442815
229,229,229,229,205975,6661,4507,1,1,2,11,Keroplatidae,9,4,0.06818181818181818,0.07872958216222169,-0.5358375012874603,0.8566506626055135
230,230,230,230,79028,2635,9179,12,2,0,53,Lauxaniidae,5,4,0.17140151515151514,0.19951193029635725,0.45226916670799255,0.9469525555135467
231,231,231,231,15541,2913,3893,0,1,0,2,Lonchaeidae,2,2,0.09375,0.13258252147247765,-0.9691165387630463,0.03749421575692793
232,232,232,232,52002,2230,5520,6,3,0,67,Lonchopteridae,2,0,,,,
233,233,233,233,28183,851,549,0,1,0,0,Lygistorrhinidae,1,1,0.0,0.0,0.7490795254707336,0.0
234,234,234,234,0,0,0,0,0,0,0,Marginidae,0,0,,,,
235,235,235,235,146596,4427,100711,3,6,1,69,Micropezidae,10,3,0.11481481481481486,0.19886509272087116,-0.9813394943873087,0.019081622427123197
236,236,236,236,25,13,8,0,0,0,1,Milichiidae,1,1,0.16,0.0,-0.9833463430404663,0.0
237,237,237,237,555606,15438,31430,13,6,0,46,Muscidae,32,17,0.20360007639419408,0.2657045582178457,-0.9279848372235018,0.11998965231677575
238,238,238,238,184407,6588,6265,5,2,0,29,Mycetophilidae,9,5,0.04026785714285714,0.17510940912988174,-0.5826910734176636,0.7545258989813648
239,239,239,239,39960,4426,39121,20,19,2,340,Mydidae,6,4,0.4358723958333333,0.18909554240931006,0.9958530217409134,0.0038802890517178556
240,240,240,240,143,212,81,0,1,0,2,Mythicomyiidae,1,1,0.225,0.0,-0.9511167407035828,0.0
241,241,241,241,3390,134,125,0,0,0,0,Nemestrinidae,1,0,,,,
242,242,242,242,0,0,0,0,0,0,0,Neurochaetidae,0,0,,,,
243,243,243,243,116390,5145,3865,1,5,1,20,Nycteribiidae,4,4,0.0072916666666666815,0.4321347606810737,-0.9787675738334656,0.022434548270428373
